Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Beta-carotene (µg),Folate (µg),Lutein+Zeaxanthin (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2020/5/1,01:40 PM,Lunch,"Kraft, Peppercorn Ranch Dressing",2.00 tbsp,104.76,0,0,14.83,0,0,0,0,0,0,0.02,0.02,0.06,0.08,0.05,0,0.84,18.93,0.49,0,0.01,0.11,0.01,0.17,0.68,4.77,406.06,0,3.54,0,0,3.37,3.54,10.3,0,2.35,5.94,1.61,0.05,0.7,5.19,0,0,0,0,0,0,0,0,0,0,0,0,Fats and Oils
2020/5/1,01:41 PM,Lunch,"Cranberries, Dried, Sweetened","1.00 tbsp, whole pieces",30.8,0,0,1.58,0,0,0.05,0.02,0,0,2.7,0,13.8,4.6,0.02,0,0.21,0.76,0.9,0.01,0.04,0.4,0.02,0.8,4.9,0.06,0.5,0.01,8.28,0.53,0,7.26,7.75,0.11,0,0.03,0.02,0.01,0,0,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0,Fruits and Fruit Juices
2020/5/1,01:41 PM,Lunch,"Pine Nuts, Pignolias","1.00 tbsp, whole pieces",56.79,0,0,0.19,0.03,0.02,0.37,0.03,0.01,0,1.43,2.87,0.76,2.45,0.07,0,0.79,4.55,1.35,0.11,0.47,21.18,0.74,48.52,50.37,0.06,0.17,0.54,1.1,0.31,0.12,0.3,0.79,5.77,0,1.58,2.87,0.41,0,0.01,2.8,0.02,0.03,0.05,0.08,0.05,0.02,0.04,1.16,0.03,0.01,0.04,0.06,Nut and Seed Products
2020/5/1,10:59 AM,Dinner,"Tossed Salad, Plain, without Dressing","3.00 cup, chopped",23.94,0,0,163.54,0.07,0.04,0.21,0.16,0.07,0,511.28,49.59,473.66,858.41,4.79,0,0.38,41.21,30.78,0.04,0.7,11.97,0.21,34.2,241.11,0.17,17.1,0.26,5.08,2.05,0,3.37,3.03,0.24,0,0.01,0.13,0.03,0,0.09,0,0.01,0.02,0.03,0.04,0.04,0.01,0.04,1.54,0.04,0.02,0.01,0.04,Vegetables and Vegetable Products
2020/5/1,11:00 AM,Dinner,"Pizza, Homemade or Restaurant, Cheese, Thin Crust",140.00 g,390.13,0,0,104.3,0.51,0.49,3.61,0.7,0.14,0.9,119.4,139.16,22.88,608.95,2.84,8.4,1.18,11.31,405.63,0.14,2.8,33.32,0.42,371.92,285.04,33.32,1094.86,2.52,43.06,2.5,34.4,3.35,40.56,15.79,35.63,3.89,3.07,7.04,0.42,0.34,2.55,0.18,0.44,0.87,1.48,0.77,0.4,0.89,18.94,0.74,0.36,0.8,1.02,"Meals, Entrees, and Sidedishes"
2020/5/1,11:02 AM,Dinner,Nestle Toll House Chocolate Chips,1.50 Tablespoon,105,,,,,,,,,,,,,,,,,,,,,,,,,,0,,13.5,,,12,13.5,6,0,,,3.75,,,,,,,,,,,,,,,,Sweets
2020/5/1,01:39 PM,Snack,"Pita Bread, Whole Wheat","2.00 small - 4"" diameter",146.72,0,0,17.14,0.19,0.04,1.59,0.47,0.15,0,2.24,19.6,29.68,3.36,0,0,0.34,0.78,8.4,0.16,1.71,38.64,0.97,100.8,95.2,24.64,235.76,0.85,31.3,3.42,24.29,1.61,27.88,0.96,0,0.2,0.59,0.23,0,0.03,0.36,0.13,0.13,0.21,0.38,0.15,0.09,0.26,5.49,0.16,0.08,0.16,0.25,Baked Products
2020/5/1,01:39 PM,Snack,Hummus,2.50 tbsp,66.72,0,0,24.09,0.07,0.03,0.3,0.1,0.05,0,6.26,17.76,0.69,11.16,0.52,0,0.1,0.93,34.06,0.15,0.77,12.06,0.31,58.53,59.23,2.52,164.67,0.4,7.38,2.19,4.11,1.21,5.19,3.29,0,1.09,1.37,0.41,0.02,0.03,1.29,0.04,0.08,0.12,0.2,0.15,0.05,0.15,2.75,0.1,0.04,0.08,0.13,Legumes and Legume Products
2020/5/1,11:01 AM,Snack,"Lindt, 85% Dark Chocolate",0.20 Serving,116.8,,,,,,,,,,,,,,,,,,4,,1,,,,252,,2,,7.06,3.26,,2.8,3.8,9.2,0.4,,,5.6,0,,,,,,,,,,2.5,,,,,Sweets
2020/5/2,11:03 AM,Breakfast,"Banana, Fresh","1.00 large - 8"" to 8 7/8"" long",121.04,0,0,101.88,0.04,0.1,0.9,0.45,0.5,0,35.36,27.2,29.92,87.04,11.83,0,0.18,0.68,6.8,0.11,0.35,36.72,0.37,29.92,486.88,1.36,1.36,0.2,31.06,3.54,7.32,16.63,27.53,0.45,0,0.04,0.1,0.15,0,0.04,0.06,0.01,0.1,0.04,0.09,0.07,0.01,0.07,1.48,0.04,0.01,0.01,0.06,Fruits and Fruit Juices
2020/5/2,11:03 AM,Breakfast,"Coffee, Prepared From Grounds",2.00 small or tall - each 12 fl oz,7.1,0,284.16,706.07,0.1,0.54,1.36,1.8,0.01,0,0,14.21,0,0,0,0,0.07,0.71,14.21,0.01,0.07,21.31,0.16,21.31,348.1,0,14.21,0.14,3.34,3.34,0,0,0,0.14,0,0.11,0.01,0.01,0,0,0,0.01,0.01,0.01,0.04,0.01,0,0.02,0.85,0.01,0,0.01,0.02,Beverages
2020/5/2,11:03 AM,Breakfast,"Strawberries, Fresh","0.60 cup, halves",29.18,0,0,82.95,0.02,0.02,0.35,0.11,0.04,0,6.38,21.89,23.71,10.94,53.62,0,0.26,2.01,14.59,0.04,0.37,11.86,0.35,21.89,139.53,0.36,0.91,0.13,7,1.82,0.04,4.46,5.18,0.27,0,0.04,0.14,0.01,0,0.06,0.08,0.01,0.01,0.01,0.03,0.02,0,0.02,0.61,0.02,0.01,0.02,0.02,Fruits and Fruit Juices
2020/5/2,11:03 AM,Breakfast,"Blueberries, Fresh","0.70 cup, whole pieces",59.05,0,0,87.24,0.04,0.04,0.43,0.13,0.05,0,33.15,6.22,82.88,55.94,10.05,0,0.6,19.99,6.22,0.06,0.29,6.22,0.35,12.43,79.77,0.1,1.04,0.17,15.01,2.49,0.03,10.32,12.53,0.34,0,0.05,0.15,0.03,0,0.06,0.09,0.01,0.01,0.02,0.05,0.01,0.01,0.03,0.77,0.02,0,0.01,0.03,Fruits and Fruit Juices
2020/5/2,11:03 AM,Breakfast,"Vega One, All In One Shake, Chocolate",1.50 scoop,270,,,,1.2,1.35,20.4,7.65,1.5,2.25,,315,,600,60,420,15.3,88.5,270,,10.5,60,,330,705,,330,,22.5,6,,1.5,16.5,9,0,1.5,4.5,1.5,0,,,,,,,,,,30,,,,,Beverages
2020/5/2,11:03 AM,Breakfast,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",3.00 cup,221.88,0,0,677.69,0.2,1.53,0.52,0.23,0.3,9,6.45,73.64,0,1499.98,2.19,360.12,0.45,24.77,899.99,0.52,3.24,120,1.06,316.05,899.99,16.8,254.86,1.8,10.78,7.74,0,3.05,3.04,11.57,0,2.56,6.53,1.68,0,0.77,5.67,0.34,0.58,1.04,1.75,1.43,0.29,1.12,23.49,0.93,0.31,0.81,1.07,Beverages
2020/5/2,11:04 AM,Lunch,"Lettuce, Romaine or Cos","1.50 cup, chopped",11.98,0,0,66.69,0.05,0.05,0.22,0.1,0.05,0,3683.86,95.87,1629.75,6139.77,2.82,0,0.09,72.25,23.26,0.03,0.68,9.87,0.11,21.15,174.11,0.28,5.64,0.16,2.32,1.48,0,0.84,0.84,0.21,0,0.01,0.11,0.03,0,0.08,0,0,0.01,0.03,0.05,0.05,0.01,0.05,0.87,0.03,0.01,0.02,0.04,Vegetables and Vegetable Products
2020/5/2,07:34 AM,Lunch,"Brussels Sprouts, Cooked from Fresh",1.00 cup,80.25,0,0,198.18,0.24,0.18,1.35,0.56,0.4,0,1036.62,133.76,2875.79,1727.7,138.22,0,0.96,312.77,80.25,0.19,2.68,44.59,0.51,124.84,706.69,3.34,46.82,0.74,15.83,5.8,0.78,3.88,10.03,1.11,0,0.08,0.57,0.23,0,0.39,0,0.04,0.13,0.22,0.25,0.26,0.05,0.16,5.68,0.2,0.06,0.08,0.26,Vegetables and Vegetable Products
2020/5/2,07:34 AM,Lunch,"Pizza, Homemade or Restaurant, Cheese, Thin Crust",140.00 g,390.13,0,0,104.3,0.51,0.49,3.61,0.7,0.14,0.9,119.4,139.16,22.88,608.95,2.84,8.4,1.18,11.31,405.63,0.14,2.8,33.32,0.42,371.92,285.04,33.32,1094.86,2.52,43.06,2.5,34.4,3.35,40.56,15.79,35.63,3.89,3.07,7.04,0.42,0.34,2.55,0.18,0.44,0.87,1.48,0.77,0.4,0.89,18.94,0.74,0.36,0.8,1.02,"Meals, Entrees, and Sidedishes"
2020/5/2,07:35 AM,Dinner,"Rubio's, burrito, veggie especial",1.00 Each,850,,,,,,,,,,,,,,,,,,,,,,,,,,1830,,114,16,,6,98,36,10,,,8,2,,,,,,,,,,21,,,,,"Meals, Entrees, and Sidedishes"
2020/5/5,10:37 AM,Breakfast,"Coffee, Prepared From Grounds",2.00 small or tall - each 12 fl oz,7.1,0,284.16,706.07,0.1,0.54,1.36,1.8,0.01,0,0,14.21,0,0,0,0,0.07,0.71,14.21,0.01,0.07,21.31,0.16,21.31,348.1,0,14.21,0.14,3.34,3.34,0,0,0,0.14,0,0.11,0.01,0.01,0,0,0,0.01,0.01,0.01,0.04,0.01,0,0.02,0.85,0.01,0,0.01,0.02,Beverages
2020/5/5,10:37 AM,Breakfast,"Spinach, Raw","1.00 cup, cut pieces",6.9,0,0,27.42,0.02,0.06,0.22,0.02,0.06,0,1687.86,58.2,3659.54,2813.21,8.43,0,0.59,144.88,29.7,0.04,0.81,23.7,0.27,14.7,167.41,0.3,23.7,0.16,1.09,0.66,0.03,0.13,0.43,0.12,0,0,0.05,0.02,0,0.04,0,0.01,0.02,0.04,0.07,0.05,0.02,0.04,0.86,0.04,0.01,0.03,0.05,Vegetables and Vegetable Products
2020/5/5,10:37 AM,Breakfast,"Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0,0,88.39,0.04,0.09,0.78,0.39,0.43,0,30.68,23.6,25.96,75.52,10.27,0,0.15,0.59,5.9,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,23.88,0.39,0,0.04,0.09,0.13,0,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,Fruits and Fruit Juices
2020/5/5,10:37 AM,Breakfast,"Strawberries, Fresh","0.60 cup, halves",29.18,0,0,82.95,0.02,0.02,0.35,0.11,0.04,0,6.38,21.89,23.71,10.94,53.62,0,0.26,2.01,14.59,0.04,0.37,11.86,0.35,21.89,139.53,0.36,0.91,0.13,7,1.82,0.04,4.46,5.18,0.27,0,0.04,0.14,0.01,0,0.06,0.08,0.01,0.01,0.01,0.03,0.02,0,0.02,0.61,0.02,0.01,0.02,0.02,Fruits and Fruit Juices
2020/5/5,10:37 AM,Breakfast,"Blueberries, Fresh","0.60 cup, whole pieces",50.62,0,0,74.78,0.03,0.04,0.37,0.11,0.05,0,28.42,5.33,71.04,47.95,8.61,0,0.52,17.14,5.33,0.05,0.25,5.33,0.3,10.66,68.38,0.09,0.89,0.14,12.87,2.13,0.03,8.84,10.74,0.29,0,0.04,0.13,0.02,0,0.05,0.08,0.01,0.01,0.02,0.04,0.01,0.01,0.02,0.66,0.02,0,0.01,0.03,Fruits and Fruit Juices
2020/5/5,10:37 AM,Breakfast,"Vega One, All In One Shake, Chocolate",1.50 scoop,270,,,,1.2,1.35,20.4,7.65,1.5,2.25,,315,,600,60,420,15.3,88.5,270,,10.5,60,,330,705,,330,,22.5,6,,1.5,16.5,9,0,1.5,4.5,1.5,0,,,,,,,,,,30,,,,,Beverages
2020/5/5,10:37 AM,Breakfast,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",3.00 cup,221.88,0,0,677.69,0.2,1.53,0.52,0.23,0.3,9,6.45,73.64,0,1499.98,2.19,360.12,0.45,24.77,899.99,0.52,3.24,120,1.06,316.05,899.99,16.8,254.86,1.8,10.78,7.74,0,3.05,3.04,11.57,0,2.56,6.53,1.68,0,0.77,5.67,0.34,0.58,1.04,1.75,1.43,0.29,1.12,23.49,0.93,0.31,0.81,1.07,Beverages
2020/5/5,12:40 PM,Lunch,"Quinoa, Cooked",1.00 cup,226.03,0,0,130.14,0.22,0.2,0.93,0.47,0.3,0,4.91,113.01,100.12,8.6,0,0,1.5,0,32.71,0.38,2.81,122.23,1.25,280.69,345.86,5.22,301.94,1.92,39.41,4.3,32.07,3.76,35.11,3.73,0,0.99,2.02,0.43,0,0.19,1.83,0.12,0.25,0.31,0.52,0.47,0.19,0.36,8.67,0.26,0.1,0.16,0.36,Cereal Grains and Pasta
2020/5/5,12:41 PM,Lunch,"Halibut, Pacific, Cooked",4.00 oz,125.87,0,0,86.32,0.07,0.04,8.97,0.47,0.72,1.44,0,15.88,0,90.72,0,261.95,0.84,0,10.21,0.03,0.23,31.75,0.01,325.45,598.74,62.82,92.99,0.49,0,0,0,0,0,1.83,68.04,0.65,0.4,0.4,0.03,0.31,0.05,0.31,0.84,1.32,2.33,2.63,0.85,1.12,25.56,1.26,0.32,0.97,1.48,Finfish and Shellfish Products
2020/5/5,03:15 PM,Lunch,"Apple, Fresh, With Skin","1.50 medium - 3"" diameter",141.96,0,0,233.58,0.05,0.07,0.25,0.17,0.11,0,73.71,8.19,79.17,147.42,12.56,0,0.57,6.01,16.38,0.07,0.33,13.65,0.1,30.03,292.11,0,2.73,0.11,37.7,6.55,0.14,28.36,31.15,0.46,0,0.02,0.14,0.08,0,0.02,0.12,0,0.01,0.02,0.04,0.03,0,0.02,0.71,0.02,0,0,0.03,Fruits and Fruit Juices
2020/5/5,06:32 PM,Dinner,"Tossed Salad, Plain, without Dressing","2.50 cup, chopped",19.95,0,0,136.29,0.06,0.04,0.18,0.13,0.06,0,426.07,41.32,394.72,715.34,3.99,0,0.31,34.34,25.65,0.04,0.58,9.97,0.18,28.5,200.92,0.14,14.25,0.21,4.23,1.71,0,2.81,2.52,0.2,0,0.01,0.11,0.03,0,0.07,0,0.01,0.01,0.03,0.04,0.03,0.01,0.03,1.28,0.04,0.01,0.01,0.03,Vegetables and Vegetable Products
2020/5/5,06:32 PM,Dinner,"Red Bell Peppers, Cooked",1.50 cup,35.92,0,0,117.84,0.08,0.04,0.61,0.1,0.3,0,1956.12,20.52,60.29,3772.42,219.34,0,2.12,6.54,11.54,0.08,0.59,12.83,0.15,23.09,212.93,0.38,2.57,0.15,8.59,1.54,0.09,5.63,7.05,0.26,0,0.02,0.14,0.04,0,0.01,0,0.02,0.02,0.04,0.06,0.05,0.01,0.04,1.18,0.04,0.02,0.02,0.05,Vegetables and Vegetable Products
2020/5/5,06:32 PM,Dinner,"Black Beans, Canned, Drained","0.70 cup, whole pieces",168.55,0,0,76.82,0.29,0.08,0.78,0.32,0.17,0,0,168.55,0,0,1.08,0,0.01,0.72,83.07,0.25,2.84,63.81,0.63,173.37,468.34,3.49,463.52,1.24,31.36,12.64,18.54,0.45,18.72,0.75,0,0.17,0.59,0.12,0,0.21,0.16,0.09,0.25,0.47,0.84,0.63,0.13,0.57,9.91,0.35,0.12,0.24,0.61,Legumes and Legume Products
2020/5/5,06:33 PM,Dinner,"Tomato Raw, Includes Cherry, Grape, Roma",10.00 cherry,30.6,0,0,160.68,0.06,0.03,1.01,0.15,0.14,0,763.3,25.5,209.1,1416.1,23.29,0,0.92,13.43,17,0.1,0.46,18.7,0.19,40.8,402.9,0,8.5,0.29,6.61,2.04,0,4.47,4.57,0.34,0,0.05,0.14,0.05,0,0.01,0,0.02,0.02,0.03,0.04,0.05,0.01,0.05,1.5,0.05,0.01,0.02,0.03,Vegetables and Vegetable Products
2020/5/5,06:33 PM,Dinner,Nestle Toll House Chocolate Chips,2.00 Tablespoon,140,,,,,,,,,,,,,,,,,,,,,,,,,,0,,18,,,16,18,8,0,,,5,,,,,,,,,,,,,,,,Sweets
2020/5/6,06:27 PM,Breakfast,"Coffee, Prepared From Grounds",2.50 small or tall - each 12 fl oz,8.88,0,355.2,882.58,0.12,0.67,1.7,2.26,0.01,0,0,17.76,0,0,0,0,0.09,0.89,17.76,0.02,0.09,26.64,0.2,26.64,435.12,0,17.76,0.18,4.17,4.17,0,0,0,0.18,0,0.13,0.01,0.02,0,0,0,0.02,0.02,0.02,0.04,0.01,0,0.03,1.07,0.01,0,0.02,0.03,Beverages
2020/5/6,06:27 PM,Breakfast,"Kashi, GoLEAN Original Cereal","1.50 cup, whole pieces",215.77,0,0,2.64,0.29,0.15,2.26,0.64,0.27,0,23.67,53.59,310.43,46.63,0.28,0,0.37,3.06,48.03,0.44,2.16,71.69,1.87,240.13,467.73,20.32,137.81,1.93,48.01,15.6,22.68,9.6,32.41,2.4,0,0.56,1.18,0.36,0,0.11,1.04,0.24,0.36,0.61,1.13,0.74,0.21,0.7,14.4,0.51,0.18,0.49,0.67,Breakfast Cereals
2020/5/6,06:27 PM,Breakfast,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",3.00 cup,221.88,0,0,677.69,0.2,1.53,0.52,0.23,0.3,9,6.45,73.64,0,1499.98,2.19,360.12,0.45,24.77,899.99,0.52,3.24,120,1.06,316.05,899.99,16.8,254.86,1.8,10.78,7.74,0,3.05,3.04,11.57,0,2.56,6.53,1.68,0,0.77,5.67,0.34,0.58,1.04,1.75,1.43,0.29,1.12,23.49,0.93,0.31,0.81,1.07,Beverages
2020/5/6,06:28 PM,Breakfast,"Vega One, All In One Shake, Chocolate",0.80 scoop,144,,,,0.64,0.72,10.88,4.08,0.8,1.2,,168,,320,32,224,8.16,47.2,144,,5.6,32,,176,376,,176,,12,3.2,,0.8,8.8,4.8,0,0.8,2.4,0.8,0,,,,,,,,,,16,,,,,Beverages
2020/5/6,06:28 PM,Lunch,"Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0,0,88.39,0.04,0.09,0.78,0.39,0.43,0,30.68,23.6,25.96,75.52,10.27,0,0.15,0.59,5.9,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,23.88,0.39,0,0.04,0.09,0.13,0,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,Fruits and Fruit Juices
2020/5/6,06:28 PM,Lunch,"Brown Rice, Steamed",1.30 cup,322.99,0,0,184.52,0.47,0.18,6.73,1,0.32,0,0,23.63,0,0,0,0,0.45,0.53,7.88,0.28,1.47,102.41,2.56,270.47,225.83,15.23,10.5,1.86,67.17,4.2,65.1,0.63,62.97,2.55,0,0.97,0.96,0.68,0,0.03,0.93,0.08,0.17,0.29,0.56,0.26,0.15,0.35,7.2,0.25,0.09,0.25,0.4,Cereal Grains and Pasta
2020/5/6,06:28 PM,Lunch,"Salmon, Atlantic, Wild, Cooked",4.00 oz,206.38,0,0,67.61,0.31,0.55,11.43,2.18,1.07,3.46,0,32.89,0,49.9,0,394.63,4.5,0.83,17.01,0.36,1.17,41.96,0.02,290.3,712.14,53.07,63.5,0.93,0,0,0,0,0,9.22,80.51,3.06,3.69,1.43,0,3.05,0.64,0.31,0.85,1.33,2.34,2.65,0.85,1.13,28.85,1.26,0.32,0.97,1.49,Finfish and Shellfish Products
2020/5/6,06:29 PM,Dinner,"Spinach, Raw","1.50 cup, cut pieces",10.35,0,0,41.13,0.04,0.09,0.33,0.03,0.09,0,2531.79,87.3,5489.31,4219.81,12.65,0,0.88,217.31,44.55,0.06,1.22,35.55,0.4,22.05,251.11,0.45,35.55,0.24,1.63,0.99,0.05,0.19,0.64,0.18,0,0,0.07,0.03,0,0.06,0,0.02,0.03,0.07,0.1,0.08,0.02,0.06,1.29,0.05,0.02,0.05,0.07,Vegetables and Vegetable Products
2020/5/6,06:29 PM,Dinner,"Tossed Salad, Plain, without Dressing","1.00 cup, chopped",7.98,0,0,54.51,0.02,0.01,0.07,0.05,0.02,0,170.43,16.53,157.89,286.14,1.6,0,0.13,13.74,10.26,0.01,0.23,3.99,0.07,11.4,80.37,0.06,5.7,0.09,1.69,0.68,0,1.12,1.01,0.08,0,0,0.04,0.01,0,0.03,0,0,0.01,0.01,0.01,0.01,0,0.01,0.51,0.01,0.01,0,0.01,Vegetables and Vegetable Products
2020/5/6,06:29 PM,Dinner,"Strawberries, Fresh","1.00 cup, halves",48.64,0,0,138.24,0.04,0.03,0.59,0.19,0.07,0,10.64,36.48,39.52,18.24,89.37,0,0.43,3.34,24.32,0.07,0.62,19.76,0.59,36.48,232.56,0.61,1.52,0.21,11.67,3.04,0.06,7.43,8.63,0.46,0,0.07,0.24,0.02,0,0.1,0.14,0.01,0.02,0.02,0.05,0.04,0,0.03,1.02,0.03,0.01,0.03,0.03,Fruits and Fruit Juices
2020/5/6,06:29 PM,Dinner,"Litehouse, Poppyseed Dressing",2.00 tbsp,40.29,0,0,22.85,0,0.02,0.01,0.04,0,0.02,5.93,1.03,8.17,46.34,0.19,0.17,0.31,2.52,19.65,0,0.02,2.39,0.01,7.21,20.61,0.38,182.83,0.03,3.47,0.88,1.08,1.39,2.59,3.28,5.99,1.4,0.51,1.01,0.08,0.15,0.33,0,0.01,0.02,0.03,0.03,0.01,0.02,0.26,0.02,0,0.01,0.02,Fats and Oils
2020/5/6,06:30 PM,Dinner,"Black Beans, Canned, Drained","0.25 cup, whole pieces",60.2,0,0,27.44,0.1,0.03,0.28,0.11,0.06,0,0,60.2,0,0,0.39,0,0,0.26,29.67,0.09,1.01,22.79,0.23,61.92,167.26,1.25,165.54,0.44,11.2,4.51,6.62,0.16,6.69,0.27,0,0.06,0.21,0.04,0,0.08,0.06,0.03,0.09,0.17,0.3,0.22,0.05,0.2,3.54,0.12,0.04,0.08,0.22,Legumes and Legume Products
2020/5/6,06:30 PM,Dinner,"Yasso, Frozen Greek Yogurt Bars, Mint Chocolate Chip",1.00 bar,100,,,,,,,,,,,,,,,0,,,111,,1,,,,140,,60,,16,0,,13,16,2,5,,,1.5,0,,,,,,,,,,5,,,,,Sweets
2020/5/6,06:31 PM,Snack,"Coffee, Prepared From Grounds",1.00 small or tall - each 12 fl oz,3.55,0,142.08,353.03,0.05,0.27,0.68,0.9,0,0,0,7.1,0,0,0,0,0.04,0.36,7.1,0.01,0.04,10.66,0.08,10.66,174.05,0,7.1,0.07,1.67,1.67,0,0,0,0.07,0,0.05,0,0.01,0,0,0,0.01,0.01,0.01,0.02,0,0,0.01,0.43,0,0,0.01,0.01,Beverages
2020/5/6,06:31 PM,Snack,"Vega One, All In One Shake, Chocolate",0.25 scoop,45,,,,0.2,0.23,3.4,1.28,0.25,0.38,,52.5,,100,10,70,2.55,14.75,45,,1.75,10,,55,117.5,,55,,3.75,1,,0.25,2.75,1.5,0,0.25,0.75,0.25,0,,,,,,,,,,5,,,,,Beverages
2020/5/6,06:31 PM,Snack,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",0.60 cup,44.38,0,0,135.54,0.04,0.31,0.1,0.05,0.06,1.8,1.29,14.73,0,300,0.44,72.02,0.09,4.95,180,0.1,0.65,24,0.21,63.21,180,3.36,50.97,0.36,2.16,1.55,0,0.61,0.61,2.31,0,0.51,1.31,0.34,0,0.15,1.13,0.07,0.12,0.21,0.35,0.29,0.06,0.22,4.7,0.19,0.06,0.16,0.21,Beverages
2020/5/7,11:02 AM,Breakfast,"Coffee, Prepared From Grounds",3.00 small or tall - each 12 fl oz,10.66,0,426.24,1059.1,0.15,0.81,2.04,2.71,0.01,0,0,21.31,0,0,0,0,0.11,1.07,21.31,0.02,0.11,31.97,0.25,31.97,522.14,0,21.31,0.21,5.01,5.01,0,0,0,0.21,0,0.16,0.01,0.02,0,0,0,0.02,0.02,0.02,0.05,0.01,0,0.03,1.28,0.01,0,0.02,0.03,Beverages
2020/5/7,11:02 AM,Breakfast,"Vega One, All In One Shake, Chocolate",1.00 scoop,180,,,,0.8,0.9,13.6,5.1,1,1.5,,210,,400,40,280,10.2,59,180,,7,40,,220,470,,220,,15,4,,1,11,6,0,1,3,1,0,,,,,,,,,,20,,,,,Beverages
2020/5/7,11:03 AM,Breakfast,"Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified",2.00 cup,147.92,0,0,451.79,0.13,1.02,0.35,0.16,0.2,6,4.3,49.09,0,999.99,1.46,240.08,0.3,16.51,600,0.35,2.16,80,0.71,210.7,600,11.2,169.9,1.2,7.19,5.16,0,2.03,2.03,7.71,0,1.71,4.35,1.12,0,0.52,3.78,0.23,0.38,0.69,1.17,0.95,0.19,0.75,15.66,0.62,0.21,0.54,0.71,Beverages
2020/5/7,11:03 AM,Breakfast,"Banana, Fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0,0,88.39,0.04,0.09,0.78,0.39,0.43,0,30.68,23.6,25.96,75.52,10.27,0,0.15,0.59,5.9,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,23.88,0.39,0,0.04,0.09,0.13,0,0.03,0.05,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06,Fruits and Fruit Juices
2020/5/7,01:29 PM,Lunch,"Tossed Salad, Plain, without Dressing","3.00 cup, chopped",23.94,0,0,163.54,0.07,0.04,0.21,0.16,0.07,0,511.28,49.59,473.66,858.41,4.79,0,0.38,41.21,30.78,0.04,0.7,11.97,0.21,34.2,241.11,0.17,17.1,0.26,5.08,2.05,0,3.37,3.03,0.24,0,0.01,0.13,0.03,0,0.09,0,0.01,0.02,0.03,0.04,0.04,0.01,0.04,1.54,0.04,0.02,0.01,0.04,Vegetables and Vegetable Products
2020/5/7,01:29 PM,Lunch,"Brown Rice, Steamed",1.30 cup,322.99,0,0,184.52,0.47,0.18,6.73,1,0.32,0,0,23.63,0,0,0,0,0.45,0.53,7.88,0.28,1.47,102.41,2.56,270.47,225.83,15.23,10.5,1.86,67.17,4.2,65.1,0.63,62.97,2.55,0,0.97,0.96,0.68,0,0.03,0.93,0.08,0.17,0.29,0.56,0.26,0.15,0.35,7.2,0.25,0.09,0.25,0.4,Cereal Grains and Pasta
2020/5/7,01:30 PM,Lunch,"Marie's, Poppy Seed Dressing",2.00 tbsp,139.92,0,0,8.68,0,0.01,0,0.03,0,0.02,0.83,1.37,10.29,13.56,0,2.05,1.56,15.32,1.62,0,0.03,0.1,0.01,3.83,1.15,3.37,204.12,0.03,8.17,0,0,7.73,8.17,12.25,10.2,5.27,5.19,1.47,0.06,0.96,4.18,0,0,0.01,0.01,0.01,0,0.01,0.15,0.01,0,0.01,0.01,Fats and Oils
